TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HNX-IDX,20130110,59.61,60.64,58.86,60.53,66286900
HNX-IDX,20130111,60.99,61.75,60.29,60.55,86542100
HNX-IDX,20130114,60.61,60.91,59.77,60.62,71444500
HNX-IDX,20130115,60.63,62.29,60.36,62.19,110610600
HNX-IDX,20130116,62.2,63.94,62.19,62.71,109431000
HNX-IDX,20130117,62.72,63.68,62.11,62.33,101274000
HNX-IDX,20130118,62.09,62.37,60.82,62.05,70646800
HNX-IDX,20130121,62.05,62.36,61,61.16,57469600
HNX-IDX,20130122,61.16,61.31,58.97,59.49,77241800
HNX-IDX,20130123,59.49,60.14,58.58,59.57,49781100
HNX-IDX,20130124,59.58,61.22,59.31,61.17,60297600
HNX-IDX,20130125,61.12,62.3,60.93,61.61,71043900
HNX-IDX,20130128,61.6,63.42,61.6,62.52,94991400
HNX-IDX,20130129,62.4,63.31,62,62.99,81238300
HNX-IDX,20130130,63.21,63.76,62.91,63.35,69295900
HNX-IDX,20130131,63.35,63.56,62.48,62.62,66606500
HNX-IDX,20130201,62.64,63.04,61.95,62.99,50638500
HNX-IDX,20130204,62.99,63.32,62.64,62.93,47891800
HNX-IDX,20130205,62.94,63.08,62.42,62.77,39973900
HNX-IDX,20130206,62.78,64.22,62.67,64.13,49423900
HNX-IDX,20130207,64.2,65.05,64.13,65.02,64170500
HNX-IDX,20130208,65.06,66.25,64.96,66.21,65270800
HNX-IDX,20130218,66.22,66.85,66.13,66.74,71152200
HNX-IDX,20130219,66.74,67,66,66.25,101882000
HNX-IDX,20130220,66.44,67.13,65.61,67,80857900
HNX-IDX,20130221,66.91,67.15,63.29,63.45,131642900
HNX-IDX,20130222,63.45,64.86,62.23,64.12,115367700
HNX-IDX,20130225,64.12,64.5,63.79,64.19,45434400
HNX-IDX,20130226,64.19,64.26,61.73,62.01,91107000
HNX-IDX,20130227,62.01,62.66,61.03,62.61,63472000
HNX-IDX,20130228,62.49,63.34,62.49,62.56,42830700
HNX-IDX,20130301,62.56,62.92,62.22,62.78,40183100
HNX-IDX,20130304,62.61,62.78,60.61,60.69,78141300
HNX-IDX,20130305,60.35,60.69,59.2,59.3,62163300
HNX-IDX,20130306,59.19,60.85,59.1,60.82,37913200
HNX-IDX,20130307,60.81,60.91,59.89,60.15,37430500
HNX-IDX,20130308,60.15,61,60.03,61,30147800
HNX-IDX,20130311,61,62.16,60.54,62.05,58973200
HNX-IDX,20130312,62.22,63.22,61.25,62.22,58727300
HNX-IDX,20130313,62.23,62.31,61.16,61.43,48238300
HNX-IDX,20130314,61.43,61.96,61.06,61.81,38980300
HNX-IDX,20130315,61.87,62.48,61.55,62.06,47478400
HNX-IDX,20130318,62.06,62.07,61.09,61.26,37336200
HNX-IDX,20130319,61.63,61.64,60.6,61.09,28953800
HNX-IDX,20130320,61.08,61.83,61.06,61.54,34066900
HNX-IDX,20130321,61.54,61.85,61.2,61.49,29798200
HNX-IDX,20130322,61.52,61.69,60.33,60.93,40115000
HNX-IDX,20130325,60.93,61.16,60.43,61.12,29085600
HNX-IDX,20130326,61.13,61.36,60.68,60.85,24701300
HNX-IDX,20130327,60.83,60.93,60.04,60.62,30379600
HNX-IDX,20130328,60.62,60.87,60.1,60.31,34977400
HNX-IDX,20130329,60.34,60.34,58.97,60.25,36803600
HNX-IDX,20130401,60.11,61.61,59.72,61.51,41274700
HNX-IDX,20130402,61.53,62.04,61.06,61.09,47651500
HNX-IDX,20130403,61.09,61.69,60.75,61.38,41592700
HNX-IDX,20130404,61.38,61.38,60.46,60.53,50767400
HNX-IDX,20130405,60.53,61.07,60.3,61,30427600
HNX-IDX,20130408,61.07,61.49,60.61,61.36,52936700
HNX-IDX,20130409,60.98,61.49,60.88,61.37,34224500
HNX-IDX,20130410,61.37,61.53,60.09,60.33,52296700
HNX-IDX,20130411,60.33,61.14,60.14,61.08,31315900
HNX-IDX,20130412,61.08,61.48,60.07,60.32,35560800
HNX-IDX,20130415,60.33,60.35,58.62,58.87,38855500
HNX-IDX,20130416,58.87,59.19,57.95,59.19,31168100
HNX-IDX,20130417,59.12,59.35,58.51,58.95,18230900
HNX-IDX,20130418,58.95,59.01,58.16,58.36,26897400
HNX-IDX,20130422,58.33,58.51,57.51,57.61,25486600
HNX-IDX,20130423,57.57,58.38,57.51,58.22,20314600
HNX-IDX,20130424,58.16,58.46,57.97,58.27,17204900
HNX-IDX,20130425,58.27,58.91,58.25,58.69,22967900
HNX-IDX,20130426,58.69,58.88,58.26,58.36,21751600
HNX-IDX,20130502,58.36,58.61,58.12,58.3,14357300
HNX-IDX,20130503,58.24,59.07,58.12,59.06,22417100
HNX-IDX,20130506,59.01,60.78,58.95,60.74,52561200
HNX-IDX,20130507,60.74,61.04,60.13,60.54,48045300
HNX-IDX,20130508,60.54,60.67,59.68,60.08,30845900
HNX-IDX,20130509,59.83,60.73,59.6,60.64,35814500
HNX-IDX,20130510,60.73,60.91,60.15,60.48,31117500
HNX-IDX,20130513,60.48,60.88,60.16,60.66,31239900
HNX-IDX,20130514,60.66,60.66,59.48,59.89,22167200
HNX-IDX,20130515,59.88,60.52,59.59,60.5,24347400
HNX-IDX,20130516,60.5,60.94,60.35,60.6,21496200
HNX-IDX,20130517,60.37,60.94,60.12,60.45,21496200
HNX-IDX,20130520,60.46,61.07,59.96,61.04,28610700
HNX-IDX,20130521,61.05,61.78,60.87,61.63,52810600
HNX-IDX,20130522,61.44,62.98,61.43,62.59,58953700
HNX-IDX,20130523,62.58,63.02,61.94,62.08,53809300
HNX-IDX,20130524,62.07,62.71,61.88,62.61,22663400
HNX-IDX,20130527,62.56,63.83,62.56,63.53,77835700
HNX-IDX,20130528,63.42,64.07,62.99,64.07,63486400
HNX-IDX,20130529,64.05,65.12,64.03,64.46,94656900
HNX-IDX,20130530,64.16,65.21,64.02,65.14,53672400
HNX-IDX,20130531,65.16,65.79,64.42,64.62,70973600
HNX-IDX,20130603,64.62,65.24,64.42,64.89,47938900
HNX-IDX,20130604,64.92,65.13,63.57,63.79,56823900
HNX-IDX,20130605,63.8,64.37,63.57,64.16,32796200
HNX-IDX,20130606,64.55,65.33,64.18,65.33,38599600
HNX-IDX,20130607,65.25,65.67,65.03,65.58,48547000
HNX-IDX,20130610,65.57,66.24,65.23,65.6,50956000
HNX-IDX,20130611,65.7,65.8,65.07,65.49,38087700
HNX-IDX,20130612,65.51,65.59,64.9,65.32,40838900
HNX-IDX,20130613,65.27,65.64,64.71,65.64,38568600
HNX-IDX,20130614,65.71,66.03,65.25,65.63,33593200
HNX-IDX,20130617,65.76,66.08,64.28,64.82,53486300
HNX-IDX,20130618,64.82,65.1,64.08,64.99,39177200
HNX-IDX,20130619,65,65.29,64.69,65.02,27491300
HNX-IDX,20130620,65.03,65.03,63.81,64.53,32609400
HNX-IDX,20130621,64.41,64.65,63.73,64.26,6421400
HNX-IDX,20130624,64.32,64.33,63.1,63.55,35710000
HNX-IDX,20130625,63.47,63.55,61.21,62,55011600
HNX-IDX,20130626,62.15,62.24,61.33,62.24,28027700
HNX-IDX,20130627,62.2,62.91,62.07,62.85,24181700
HNX-IDX,20130628,62.84,63.2,62.38,62.76,27791700
HNX-IDX,20130701,62.76,62.82,62.15,62.49,16217800
HNX-IDX,20130702,63.05,63.21,62.37,63.2,19800900
HNX-IDX,20130703,63.21,63.23,62.7,63.07,24065100
HNX-IDX,20130704,63.06,63.16,62.87,63.07,17956400
HNX-IDX,20130705,63.06,63.12,62.51,62.69,26988700
HNX-IDX,20130708,62.7,62.79,62.18,62.34,20069500
HNX-IDX,20130709,62.34,62.65,62.25,62.58,13938800
HNX-IDX,20130710,62.57,62.76,62.13,62.43,20220600
HNX-IDX,20130711,62.06,62.43,61.59,62.34,14069900
HNX-IDX,20130712,62.22,63.14,62.05,63.12,26977100
HNX-IDX,20130715,63.12,63.26,62.72,63.03,18643100
HNX-IDX,20130716,63.03,63.09,62.69,63,18289700
HNX-IDX,20130717,63,63.3,62.8,63.25,20746100
HNX-IDX,20130718,63.23,63.31,62.72,62.97,19352500
HNX-IDX,20130719,62.94,63.22,62.82,63.16,20625200
HNX-IDX,20130722,62.8,63.4,62.59,62.8,17118700
HNX-IDX,20130723,62.78,63.15,62.53,62.99,16954500
HNX-IDX,20130724,62.97,63.09,62.1,62.19,22462400
HNX-IDX,20130725,62.21,62.46,61.5,61.52,18942600
HNX-IDX,20130726,61.02,61.75,60.96,61.33,22080000
HNX-IDX,20131128,65.28,65.33,64.78,65.28,32031000
HNX-IDX,20131129,65.28,65.55,64.82,65.19,39721200
HNX-IDX,20131202,65.19,65.28,64.94,65.13,27029800
HNX-IDX,20131203,65.13,66.08,65.01,65.64,41760500
HNX-IDX,20131204,65.64,66.12,65.62,66.12,59503600
HNX-IDX,20131205,66.12,66.2,65.66,66.07,42485400
HNX-IDX,20131206,66.07,66.18,65.78,66.09,32305900
HNX-IDX,20131209,66.09,66.45,65.9,66.12,39631900
HNX-IDX,20131210,66.12,66.23,65.77,66.14,38460200
HNX-IDX,20131211,66.14,66.17,65.36,65.57,49766100
HNX-IDX,20131212,65.57,65.98,65.35,65.97,33456300
HNX-IDX,20131213,65.97,66.34,65.85,66.22,25409300
HNX-IDX,20131216,66.22,66.62,65.86,66.49,53405900
HNX-IDX,20131217,66.49,66.89,66.33,66.86,37781500
HNX-IDX,20131218,66.86,67.11,66.69,66.95,29052100
HNX-IDX,20131219,66.95,67.81,66.92,67.62,69811300
HNX-IDX,20131220,67.62,68.12,67.5,67.5,89839300
HNX-IDX,20131223,67.5,68.45,67.51,68.3,45720000
HNX-IDX,20131224,68.3,68.54,67.95,68.12,52258900
HNX-IDX,20131225,68.12,68.39,67.89,68.21,42971500
HNX-IDX,20131226,68.21,68.43,68.09,68.1,54771800
HNX-IDX,20131227,68.1,68.34,67.85,67.93,50352800
HNX-IDX,20131230,67.93,68.04,66.69,66.95,57525100
HNX-IDX,20131231,66.95,67.84,66.86,67.84,38636900
HNX-IDX,20140102,67.84,68.2,67.8,67.93,32806200
HNX-IDX,20140103,67.93,68.05,67.69,67.97,40554600
HNX-IDX,20140106,67.97,68.9,67.83,68.82,39630100
HNX-IDX,20140107,68.82,69.67,68.46,69.47,40131600
HNX-IDX,20140108,69.47,70.03,69.37,69.99,54710100
HNX-IDX,20140109,69.99,71.17,69.87,71.16,77819100
HNX-IDX,20140110,71.16,71.51,70.76,70.76,51565200
HNX-IDX,20140113,70.76,71.22,70.62,71.05,46357900
HNX-IDX,20140114,71.05,72.08,70.95,71.69,46612600
HNX-IDX,20140115,71.69,73,71.45,72.7,65134500
HNX-IDX,20140116,72.7,73.32,72.47,73.07,61609500
HNX-IDX,20140117,73.07,73.54,72.48,72.79,67826600
HNX-IDX,20140120,72.79,73.15,72.36,72.5,48573900
HNX-IDX,20140121,72.5,73.62,72.17,73.56,48524300
HNX-IDX,20140122,73.56,74.58,72.9,73.42,54790500
HNX-IDX,20140123,73.42,73.79,73.21,73.44,30438100
HNX-IDX,20140124,73.44,73.86,73.3,73.66,34340000
HNX-IDX,20140127,73.66,74.22,73.51,74.22,31658300
HNX-IDX,20140206,74.22,75.09,74.3,75.05,31330300
HNX-IDX,20140207,75.05,75.62,74.32,74.78,80278500
HNX-IDX,20140210,74.78,75.56,74.58,75.56,68573900
HNX-IDX,20140211,75.56,76.68,75.54,75.55,89595700
HNX-IDX,20140212,75.55,76.75,75.55,76.75,63769000
HNX-IDX,20140213,76.75,77.71,76.64,77.7,81710300
HNX-IDX,20140214,77.7,78.76,77.7,78.76,109457800
HNX-IDX,20140217,78.76,80,78.22,79.64,102193100
HNX-IDX,20140218,79.64,81.04,79.58,81.04,38147200
HNX-IDX,20140219,81.04,82.33,80.9,82.33,12190500
HNX-IDX,20140220,82.33,82.86,78.35,79.51,147711300
HNX-IDX,20140221,79.51,80.39,78.67,80.17,71248800
HNX-IDX,20140224,80.17,81.68,80.05,81.66,68709200
HNX-IDX,20140225,81.66,82.31,81.36,82.25,54138600
HNX-IDX,20140226,82.25,82.84,81.71,82.79,90483276
HNX-IDX,20140227,82.79,84.32,82.53,82.63,106096607
HNX-IDX,20140228,82.63,83.24,81.81,83.12,73542237
HNX-IDX,20140303,83.12,83.15,80.45,80.46,89347063
HNX-IDX,20140304,80.46,80.49,79.15,80.35,70225974
HNX-IDX,20140305,0,81.42,80.35,81.2,59134165
HNX-IDX,20140306,0,82.04,80.87,81.81,72129448
HNX-IDX,20140307,0,82.31,81.51,82.16,85324965
HNX-IDX,20140310,0,82.82,82.01,82.8,88532606
HNX-IDX,20140311,0,83.74,82.76,83.64,114623009
HNX-IDX,20140312,83.83,83.94,82.77,83.17,85926804
HNX-IDX,20140313,83.17,84.15,82.94,84.15,88782146
HNX-IDX,20140314,84.15,84.74,84.03,84.43,118907634
HNX-IDX,20140317,84.43,86.31,84.23,86.31,124191846
HNX-IDX,20140318,86.31,88.08,86.31,87.6,131986898
HNX-IDX,20140319,87.6,89.71,87.21,89.68,128988666
HNX-IDX,20140320,89.68,0,0,89.68,0
HNX-IDX,20140324,91.86,93.06,90.37,92.99,113970643
HNX-IDX,20140325,92.99,93.49,91.12,91.12,143201235
HNX-IDX,20140326,91.12,92.13,88.86,89.79,156659978
HNX-IDX,20140327,89.79,90.78,88.37,89.55,89528221
HNX-IDX,20140328,89.55,90.74,89.42,90.04,77911604
HNX-IDX,20140331,90.04,90.47,89.17,89.44,88884127
HNX-IDX,20140401,89.44,89.53,89.25,89.26,706532
HNX-IDX,20140402,86.49,87.04,84.12,85.68,91674805
HNX-IDX,20140403,85.68,87.62,85.6,87.62,61836905
HNX-IDX,20140404,87.62,87.84,86.24,86.76,54278939
HNX-IDX,20140407,86.76,87.42,86.2,87.32,69829071
HNX-IDX,20140408,87.32,88.17,87.32,87.82,72243986
HNX-IDX,20140410,87.82,88.51,87.6,87.64,57691321
HNX-IDX,20140411,87.64,87.89,86.88,87.49,77403136
HNX-IDX,20140414,87.49,87.92,86.38,86.79,57966886
HNX-IDX,20140415,86.79,86.86,84.31,84.34,82884060
HNX-IDX,20140416,84.34,84.44,81.84,82.62,93969834
HNX-IDX,20140417,82.62,84.07,82.62,83.6,53859284
HNX-IDX,20140418,83.6,83.81,80.43,80.58,66419344
HNX-IDX,20140606,74.5,75.9,74.45,75.85,45511862
HNX-IDX,20140609,75.85,76.75,75.54,75.62,71774305
HNX-IDX,20140610,75.62,75.76,74.93,74.95,41318016
HNX-IDX,20140611,74.95,75.97,74.8,75.92,61594459
HNX-IDX,20140612,75.92,76.55,75.86,76.29,45605651
HNX-IDX,20140613,76.29,76.78,76.21,76.68,45226111
HNX-IDX,20140616,76.68,76.76,76.04,76.42,38903299
HNX-IDX,20140617,76.42,77.04,76.09,76.99,49071917
HNX-IDX,20140618,76.99,77.36,76.69,76.85,54237047
HNX-IDX,20140619,76.85,76.83,75.29,76.44,65093843
HNX-IDX,20140620,76.44,76.74,76.14,76.31,34594767
HNX-IDX,20140623,76.31,76.32,75.77,75.98,27170472
HNX-IDX,20140624,75.98,76.63,75.76,76.62,42724575
HNX-IDX,20140625,76.62,77.75,76.62,77.75,47263178
HNX-IDX,20140626,77.75,77.91,77.28,77.35,53825753
HNX-IDX,20140627,77.35,77.59,76.74,77.58,33215510
HNX-IDX,20140630,77.58,78.25,77.64,77.93,40001716
HNX-IDX,20140701,77.93,78.4,77.79,78.08,43752206
HNX-IDX,20140702,78.08,78.91,78.02,78.9,48143737
HNX-IDX,20140703,78.9,79.75,78.68,79.66,77961342
HNX-IDX,20140704,79.66,79.68,78.96,79.44,64335753
HNX-IDX,20140707,79.44,79.67,78.82,78.92,47205240
HNX-IDX,20140708,78.92,79.39,78.32,79.36,47119359
HNX-IDX,20140709,79.36,79.69,79.09,79.14,58264768
HNX-IDX,20140710,79.14,79.22,77.96,78.61,59766341
HNX-IDX,20140711,78.61,78.65,77.91,78.62,38907381
HNX-IDX,20140714,78.62,79.5,78.46,79.49,32313941
HNX-IDX,20140715,79.49,80.27,78.8,80.23,37470855
HNX-IDX,20140716,80.23,81.22,80.08,80.16,70698113
HNX-IDX,20140717,80.16,80.85,79.95,80.85,38839576
HNX-IDX,20140718,80.85,81.32,80.55,81.14,43580510
HNX-IDX,20140721,81.14,81.46,80.36,80.67,50935900
HNX-IDX,20140722,80.67,80.81,79.86,80.25,37560264
HNX-IDX,20140723,80.25,80.62,79.67,80.34,37696853
HNX-IDX,20140724,80.34,80.7,80.08,80.42,41430395
HNX-IDX,20140725,80.42,80.75,79.43,79.43,38149584
HNX-IDX,20140728,79.43,79.49,77.11,77.73,52097189
HNX-IDX,20140729,77.73,78.28,77.2,78.28,30392850
